# Stock data for AAPL from 2021-06-20 to 2026-06-20
# Total records: 1255
# Data retrieved on: 2026-06-20 23:11:17

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-21,127.01,129.07,125.95,128.96,79663300,0.0,0.0
2021-06-22,128.79,130.69,128.3,130.6,74783600,0.0,0.0
2021-06-23,130.39,130.93,129.87,130.32,60214200,0.0,0.0
2021-06-24,131.06,131.24,129.57,130.04,68711000,0.0,0.0
2021-06-25,130.09,130.51,129.46,129.75,70783700,0.0,0.0
2021-06-28,130.04,131.84,129.98,131.38,62111300,0.0,0.0
2021-06-29,131.4,133.04,130.96,132.89,64556100,0.0,0.0
2021-06-30,132.73,133.94,132.44,133.5,63261400,0.0,0.0
2021-07-01,133.15,133.86,132.33,133.8,52485800,0.0,0.0
2021-07-02,134.42,136.47,134.27,136.43,78852600,0.0,0.0
2021-07-06,136.53,139.54,136.53,138.43,108181800,0.0,0.0
2021-07-07,139.92,141.23,139.06,140.92,104911600,0.0,0.0
2021-07-08,138.01,140.42,137.12,139.62,105575500,0.0,0.0
2021-07-09,139.15,141.97,139.05,141.45,99890800,0.0,0.0
2021-07-12,142.52,142.63,140.36,140.85,76299700,0.0,0.0
2021-07-13,140.39,143.74,140.0,141.96,100827100,0.0,0.0
2021-07-14,144.36,145.79,143.95,145.38,127050800,0.0,0.0
2021-07-15,145.47,146.21,143.38,144.73,106820300,0.0,0.0
2021-07-16,144.71,145.98,142.2,142.69,93251400,0.0,0.0
2021-07-19,140.12,140.43,138.09,138.85,121434600,0.0,0.0
2021-07-20,139.84,143.39,139.35,142.46,96350000,0.0,0.0
2021-07-21,141.86,142.44,140.98,141.73,74993500,0.0,0.0
2021-07-22,142.26,144.46,142.13,143.09,77338200,0.0,0.0
2021-07-23,143.82,144.97,143.21,144.81,71447400,0.0,0.0
2021-07-26,144.53,146.05,143.97,145.23,72434100,0.0,0.0
2021-07-27,145.36,145.44,141.88,143.06,104818600,0.0,0.0
2021-07-28,141.15,143.26,138.94,141.32,118931200,0.0,0.0
2021-07-29,141.04,142.85,140.93,141.96,56699500,0.0,0.0
2021-07-30,140.73,142.64,140.47,142.18,70440600,0.0,0.0
2021-08-02,142.66,143.24,141.58,141.85,62880000,0.0,0.0
2021-08-03,142.13,144.3,141.51,143.64,64786600,0.0,0.0
2021-08-04,143.55,144.06,142.59,143.24,56368300,0.0,0.0
2021-08-05,143.27,144.11,142.48,143.35,46397700,0.0,0.0
2021-08-06,142.87,143.61,142.17,142.66,54126800,0.22,0.0
2021-08-09,142.72,143.21,142.06,142.61,48908700,0.0,0.0
2021-08-10,142.96,144.2,141.84,142.14,69023100,0.0,0.0
2021-08-11,142.58,143.23,142.07,142.39,48493500,0.0,0.0
2021-08-12,142.71,145.5,142.37,145.35,72282600,0.0,0.0
2021-08-13,145.43,145.89,144.74,145.55,59375000,0.0,0.0
2021-08-16,145.01,147.59,142.99,147.53,103296000,0.0,0.0
2021-08-17,146.66,148.07,145.54,146.62,92229700,0.0,0.0
2021-08-18,146.24,147.13,142.67,142.88,86326000,0.0,0.0
2021-08-19,141.58,144.48,141.06,143.21,86960300,0.0,0.0
2021-08-20,143.93,144.97,143.29,144.66,60549600,0.0,0.0
2021-08-23,144.78,146.62,144.37,146.15,60131800,0.0,0.0
2021-08-24,145.89,147.27,145.6,146.06,48606400,0.0,0.0
2021-08-25,146.25,146.74,144.28,144.83,58991300,0.0,0.0
2021-08-26,144.82,145.57,144.0,144.03,48597200,0.0,0.0
2021-08-27,143.97,145.21,143.34,145.07,55802400,0.0,0.0
2021-08-30,145.46,149.84,145.07,149.48,90956700,0.0,0.0
2021-08-31,149.03,149.17,147.69,148.22,86453100,0.0,0.0
2021-09-01,149.19,151.29,148.72,148.88,80313700,0.0,0.0
2021-09-02,150.21,151.04,148.77,150.0,71115500,0.0,0.0
2021-09-03,150.1,150.95,149.45,150.63,57808700,0.0,0.0
2021-09-07,151.28,153.52,150.72,152.96,82278300,0.0,0.0
2021-09-08,153.25,153.3,150.32,151.42,74420200,0.0,0.0
2021-09-09,151.79,152.4,150.29,150.41,57305700,0.0,0.0
2021-09-10,151.31,151.78,145.16,145.43,140893200,0.0,0.0
2021-09-13,147.05,147.82,145.21,145.99,102404300,0.0,0.0
2021-09-14,146.77,147.48,143.42,144.6,109296300,0.0,0.0
2021-09-15,145.03,145.89,142.89,145.48,83281300,0.0,0.0
2021-09-16,144.91,145.43,143.72,145.25,68034100,0.0,0.0
2021-09-17,145.28,145.28,142.29,142.59,129868800,0.0,0.0
2021-09-20,140.38,141.39,137.91,139.54,123478900,0.0,0.0
2021-09-21,140.51,141.16,139.38,140.02,75834000,0.0,0.0
2021-09-22,141.01,142.95,140.28,142.38,76404300,0.0,0.0
2021-09-23,143.16,143.58,142.18,143.34,64838200,0.0,0.0
2021-09-24,142.2,143.96,142.1,143.43,53477900,0.0,0.0
2021-09-27,142.01,142.49,140.4,141.91,74150700,0.0,0.0
2021-09-28,139.84,141.31,138.32,138.53,108972300,0.0,0.0
2021-09-29,139.08,141.01,138.65,139.43,74602000,0.0,0.0
2021-09-30,140.24,140.95,137.92,138.13,89056700,0.0,0.0
2021-10-01,138.52,139.52,135.8,139.26,94639600,0.0,0.0
2021-10-04,138.39,138.83,134.98,135.83,98322000,0.0,0.0
2021-10-05,136.17,138.86,136.04,137.75,80861100,0.0,0.0
2021-10-06,136.15,138.77,135.08,138.62,83221100,0.0,0.0
2021-10-07,139.66,140.79,139.33,139.88,61732700,0.0,0.0
2021-10-08,140.6,140.75,139.17,139.5,58773200,0.0,0.0
2021-10-11,138.89,141.37,138.44,139.41,64452200,0.0,0.0
2021-10-12,139.82,139.84,137.68,138.14,73035900,0.0,0.0
2021-10-13,137.88,138.04,135.89,137.56,78762700,0.0,0.0
2021-10-14,138.73,140.46,138.14,140.34,69907100,0.0,0.0
2021-10-15,140.35,141.45,140.1,141.39,67940300,0.0,0.0
2021-10-18,140.04,143.35,139.75,143.06,85589200,0.0,0.0
2021-10-19,143.51,145.62,143.06,145.22,76378900,0.0,0.0
2021-10-20,145.16,146.19,144.6,145.71,58418800,0.0,0.0
2021-10-21,145.27,146.08,144.35,145.92,61421000,0.0,0.0
2021-10-22,146.13,146.61,145.1,145.15,58883400,0.0,0.0
2021-10-25,145.14,145.82,144.11,145.1,50720600,0.0,0.0
2021-10-26,145.78,147.25,145.47,145.77,60893400,0.0,0.0
2021-10-27,145.81,146.17,144.96,145.31,56094900,0.0,0.0
2021-10-28,146.26,149.53,146.16,148.94,100077900,0.0,0.0
2021-10-29,143.72,146.37,142.93,146.24,124953200,0.0,0.0
2021-11-01,145.45,146.14,144.28,145.42,74588300,0.0,0.0
2021-11-02,145.12,147.96,145.11,146.45,69122000,0.0,0.0
2021-11-03,146.81,148.35,146.26,147.89,54511500,0.0,0.0
2021-11-04,147.97,148.8,147.06,147.37,60394600,0.0,0.0
2021-11-05,148.49,148.8,146.7,147.9,65463900,0.22,0.0
2021-11-08,148.02,148.18,146.8,147.08,55020900,0.0,0.0
2021-11-09,146.84,148.04,146.7,147.44,56787900,0.0,0.0
2021-11-10,146.67,146.77,144.54,144.61,65187100,0.0,0.0
2021-11-11,145.63,146.09,144.38,144.56,41000000,0.0,0.0
2021-11-12,145.11,147.04,144.18,146.64,63804000,0.0,0.0
2021-11-15,147.01,148.48,146.09,146.65,59222800,0.0,0.0
2021-11-16,146.59,148.1,146.0,147.62,59256200,0.0,0.0
2021-11-17,147.62,151.53,147.61,150.06,88807000,0.0,0.0
2021-11-18,150.27,155.12,149.63,154.34,137827700,0.0,0.0
2021-11-19,154.12,157.42,153.03,156.96,117305600,0.0,0.0
2021-11-22,158.06,161.99,157.4,157.42,117467900,0.0,0.0
2021-11-23,157.52,158.18,155.5,157.8,96041900,0.0,0.0
2021-11-24,157.16,158.51,156.07,158.32,69463600,0.0,0.0
2021-11-26,156.0,156.86,152.86,153.3,76959800,0.0,0.0
2021-11-29,155.81,157.59,155.24,156.66,88748200,0.0,0.0
2021-11-30,156.41,161.82,156.34,161.6,174048100,0.0,0.0
2021-12-01,163.73,166.49,160.85,161.09,152052500,0.0,0.0
2021-12-02,155.19,160.53,154.27,160.1,136739200,0.0,0.0
2021-12-03,160.35,161.27,156.15,158.22,118023100,0.0,0.0
2021-12-06,160.62,164.13,160.61,161.62,107497000,0.0,0.0
2021-12-07,165.3,167.74,164.58,167.35,120405400,0.0,0.0
2021-12-08,168.28,172.02,166.88,171.16,116998900,0.0,0.0
2021-12-09,171.0,172.8,170.03,170.66,108923700,0.0,0.0
2021-12-10,171.29,175.61,170.78,175.44,115402700,0.0,0.0
2021-12-13,177.07,178.06,171.6,171.81,153237000,0.0,0.0
2021-12-14,171.33,173.77,168.36,170.43,139380400,0.0,0.0
2021-12-15,171.19,175.49,168.46,175.29,131063300,0.0,0.0
2021-12-16,175.27,177.09,166.93,168.41,150185800,0.0,0.0
2021-12-17,166.13,169.59,165.9,167.31,195432700,0.0,0.0
2021-12-20,164.52,166.77,163.72,165.95,107499100,0.0,0.0
2021-12-21,167.72,169.33,165.34,169.12,91185900,0.0,0.0
2021-12-22,169.17,171.93,168.3,171.71,92135300,0.0,0.0
2021-12-23,171.92,172.9,171.35,172.34,68356600,0.0,0.0
2021-12-27,173.13,176.39,173.11,176.3,74919600,0.0,0.0
2021-12-28,176.13,177.27,174.54,175.28,79144300,0.0,0.0
2021-12-29,175.32,176.59,174.16,175.37,62348900,0.0,0.0
2021-12-30,175.46,176.53,174.11,174.21,59773000,0.0,0.0
2021-12-31,174.11,175.22,173.3,173.6,64062300,0.0,0.0
2022-01-03,173.85,178.79,173.74,177.94,104487900,0.0,0.0
2022-01-04,178.55,178.85,175.11,175.68,99310400,0.0,0.0
2022-01-05,175.59,176.14,170.73,171.01,94537600,0.0,0.0
2022-01-06,168.84,171.38,167.8,168.15,96904000,0.0,0.0
2022-01-07,169.02,170.25,167.21,168.32,86709100,0.0,0.0
2022-01-10,165.3,168.64,164.41,168.34,106765600,0.0,0.0
2022-01-11,168.47,171.26,167.0,171.16,76138300,0.0,0.0
2022-01-12,172.18,173.22,170.91,171.6,74805200,0.0,0.0
2022-01-13,171.85,172.67,167.95,168.34,84505800,0.0,0.0
2022-01-14,167.51,169.89,167.26,169.2,80440800,0.0,0.0
2022-01-18,167.67,168.68,165.62,166.0,90956700,0.0,0.0
2022-01-19,166.2,167.25,162.23,162.51,94815000,0.0,0.0
2022-01-20,163.25,165.89,160.51,160.83,91420500,0.0,0.0
2022-01-21,160.74,162.61,158.67,158.78,122848900,0.0,0.0
2022-01-24,156.44,158.67,151.24,158.01,162294600,0.0,0.0
2022-01-25,155.42,159.12,153.51,156.21,115798400,0.0,0.0
2022-01-26,159.84,160.71,154.29,156.12,108275300,0.0,0.0
2022-01-27,158.82,160.18,154.74,155.66,121954600,0.0,0.0
2022-01-28,162.0,166.54,159.16,166.52,179935700,0.0,0.0
2022-01-31,166.35,171.09,165.72,170.87,115541600,0.0,0.0
2022-02-01,170.12,170.93,168.46,170.71,86213900,0.0,0.0
2022-02-02,170.84,171.95,169.45,171.91,84914300,0.0,0.0
2022-02-03,170.58,172.3,168.27,169.03,89418100,0.0,0.0
2022-02-04,168.05,170.42,167.08,168.75,82465400,0.22,0.0
2022-02-07,169.21,170.28,167.34,168.03,77251200,0.0,0.0
2022-02-08,168.1,171.65,167.81,171.14,74829200,0.0,0.0
2022-02-09,172.33,172.92,171.21,172.56,71285000,0.0,0.0
2022-02-10,170.46,171.77,167.93,168.49,90865900,0.0,0.0
2022-02-11,168.69,169.43,164.49,165.08,98670700,0.0,0.0
